An,index_cost_mat,urban_incr_proc,rata_infl,pib_dolj_mld_ron,price_per_sqm
1943,33.768,0.006,14.26,0.887,626.27
1944,34.005,0.0061,18.88,0.851,609.35
1945,34.244,0.0062,25.0,0.817,595.03
1946,34.484,0.0062,15.77,0.842,602.81
1947,34.726,0.0063,9.95,0.869,614.47
1948,34.97,0.0064,6.28,0.896,624.54
1949,35.215,0.0064,3.96,0.924,629.54
1950,35.462,0.0065,2.5,0.953,639.79
1951,35.711,0.0065,2.52,0.99,648.43
1952,35.961,0.0066,2.55,1.028,656.48
1953,36.214,0.0067,2.57,1.068,667.85
1954,36.468,0.0067,2.59,1.11,680.42
1955,36.724,0.0068,2.62,1.153,692.93
1956,36.981,0.0069,2.64,1.197,701.24
1957,37.241,0.0069,2.66,1.244,711.0
1958,37.502,0.007,2.69,1.292,722.48
1959,37.765,0.0071,2.71,1.342,735.73
1960,38.03,0.0072,2.74,1.395,745.58
1961,38.297,0.0072,2.76,1.449,756.31
1962,38.566,0.0073,2.79,1.505,764.91
1963,38.836,0.0074,2.81,1.564,773.43
1964,39.109,0.0074,2.84,1.624,787.04
1965,39.383,0.0075,2.87,1.687,802.2
1966,39.659,0.0076,2.89,1.753,814.06
1967,39.938,0.0077,2.92,1.821,828.75
1968,40.218,0.0077,2.95,1.892,842.08
1969,40.5,0.0078,2.97,1.965,853.11
1970,40.784,0.0079,3.0,2.041,866.8
1971,41.07,0.008,0.6,2.13,883.61
1972,41.359,0.008,0.0,2.222,896.78
1973,41.649,0.0081,0.7,2.318,914.1
1974,41.941,0.0082,1.1,2.418,921.33
1975,42.235,0.0083,0.2,2.523,937.18
1976,42.532,0.0084,0.6,2.632,951.46
1977,42.83,0.0085,0.6,2.746,964.99
1978,43.13,0.0085,1.6,2.865,979.69
1979,43.433,0.0086,2.0,2.989,989.47
1980,43.738,0.0087,2.1,3.118,1003.76
1981,44.045,0.0088,3.1,3.253,1019.71
1982,44.354,0.0089,17.8,3.394,1038.66
1983,44.665,0.009,4.1,3.541,1052.96
1984,44.978,0.0091,1.1,3.694,1066.75
1985,45.294,0.0091,0.8,3.854,1081.51
1986,45.612,0.0092,1.0,4.021,1100.0
1987,45.932,0.0093,0.9,4.195,1117.31
1988,46.254,0.0094,2.2,4.377,1132.76
1989,46.578,0.0095,1.1,4.566,1151.02
1990,46.905,0.0096,5.1,4.763,1222.5
1991,47.234,0.0097,170.2,4.984,1250.93
1992,47.566,0.0098,210.4,5.214,1249.36
1993,47.899,0.0099,256.1,5.455,1246.37
1994,48.236,0.0073,136.7,5.707,1168.18
1995,48.574,0.0044,32.3,5.971,1186.2
1996,48.915,0.0022,38.8,6.247,1205.86
1997,49.258,0.0006,154.8,6.536,1207.49
1998,49.604,0.001,59.1,6.839,1185.0
1999,49.952,0.0006,45.8,7.155,1260.16
2000,50.302,-0.0012,45.7,7.486,1446.36
2001,50.655,-0.0015,34.5,7.947,1571.33
2002,51.01,0.0009,22.5,8.436,1753.38
2003,51.368,-0.002,15.3,8.956,1962.08
2004,51.729,-0.0011,11.9,9.508,2175.16
2005,52.092,0.0431,9.0,10.093,2412.32
2006,57.108,-0.0006,6.6,10.715,2679.44
2007,59.308,-0.0011,4.8,11.375,2979.63
2008,68.583,-0.0039,7.9,12.076,2623.23
2009,72.45,-0.0028,5.6,12.82,2334.82
2010,74.033,-0.0015,6.1,13.61,2044.93
2011,84.642,-0.0032,5.8,14.31,2118.08
2012,93.233,-0.0039,3.3,14.85,3237.03
2013,83.9,-0.0062,4.0,15.63,3179.4
2014,81.483,-0.0043,1.1,16.56,3191.97
2015,73.433,-0.0033,-0.6,18.288,3305.01
2016,69.633,-0.0049,-1.5,20.196,3722.13
2017,75.833,-0.0067,1.3,22.303,4474.12
2018,80.475,-0.0044,4.6,24.63,5075.79
2019,82.575,-0.0051,3.8,27.2,5208.78
2020,80.242,-0.0059,2.6,27.2,5692.44
2021,99.992,-0.0107,5.1,29.4,6397.56
2022,127.875,-0.0105,13.8,35.1,7171.29
2023,124.608,-0.0111,10.4,39.5,7350.96
2024,132.417,-0.015,5.6,43.1,8344.82
2025,132.011,-0.016,9.93,46.6,10017.45
